Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat
3-D Man,good,50,31,43,32,25,52
A-Bomb,good,38,100,17,80,17,64
Abe Sapien,good,88,14,35,42,35,85
Abin Sur,good,50,90,53,64,84,65
Abomination,bad,63,80,53,90,55,95
Abraxas,bad,88,100,83,99,100,56
Adam Monroe,good,63,10,12,100,71,64
Adam Strange,good,1,1,1,1,0,1
Agent  13,good,1,1,1,1,0,1
Agent Bob,good,10,8,13,5,5,20
Agent Zero,good,75,28,38,80,72,95
Air-Walker,bad,50,85,100,85,100,40
Alan Scott,good,63,80,23,90,98,32
Alex Woolsly,good,1,1,1,1,0,1
Alfred Pennyworth,good,63,10,17,10,7,55
Allan Quatermain,good,1,1,1,1,0,1
Amazo,bad,75,100,100,100,100,100
Ammo,bad,1,1,1,1,0,1
Ando Masahashi,good,1,1,1,1,0,1
Angel,good,63,13,46,64,17,42
Angel Salvadore,good,38,10,28,28,46,60
Angela,bad,1,1,1,1,0,1
Animal Man,good,56,48,47,85,73,80
Annihilus,bad,75,80,47,56,59,64
Ant-Man,good,100,10,23,28,32,32
Ant-Man II,good,63,10,23,28,32,28
Anti-Monitor,bad,88,90,38,90,100,90
Anti-Spawn,bad,1,1,1,1,0,1
Anti-Venom,,75,60,65,90,85,84
Apocalypse,bad,100,100,33,100,100,60
Aquababy,good,10,16,12,14,37,14
Aqualad,good,63,44,42,75,76,60
Aquaman,good,63,80,50,80,65,80
Arachne,good,1,1,1,1,0,1
Archangel,good,63,13,58,64,28,42
Arclight,bad,38,63,23,42,52,70
Ares,good,75,82,35,80,62,101
Ariel,good,50,10,12,14,72,28
Armor,good,50,63,12,80,55,54
Arsenal,good,1,1,1,1,0,1
Astro Boy,good,1,1,1,1,0,1
Atlas,good,50,80,23,99,69,42
Atom,good,1,1,1,1,0,1
Atom Girl,good,38,10,23,28,38,42
Atom I,good,1,1,1,1,0,1
Atom II,good,1,1,1,1,0,1
Atom III,good,1,1,1,1,0,1
Atom IV,good,1,1,1,1,0,1
Aurora,good,50,15,83,56,69,56
Azazel,bad,50,11,47,95,87,80
Azrael,good,63,18,17,20,35,80
Aztar,good,1,1,1,1,0,1
Bane,bad,88,53,23,56,51,95
Banshee,good,50,10,58,42,60,70
Bantam,good,25,53,23,54,21,56
Batgirl I,good,1,1,1,1,0,1
Batgirl II,good,1,1,1,1,0,1
Batgirl III,good,1,1,1,1,0,1
Batgirl IV,good,69,12,27,56,42,100
Batgirl V,good,1,1,1,1,0,1
Batgirl VI,good,75,10,23,28,22,80
Batman,good,100,18,27,42,37,100
Batman II,good,88,11,33,28,36,100
Battlestar,good,50,53,35,74,48,74
Beak,good,1,1,1,1,0,1
Beast,good,88,48,35,56,35,84
Beast Boy,good,50,28,50,70,79,40
Beetle,bad,1,1,1,1,0,1
Ben 10,good,10,7,8,10,90,40
Beta Ray Bill,good,63,80,35,95,100,84
Beyonder,good,88,100,23,100,100,56
Big Barda,good,63,90,23,85,42,72
Big Daddy,good,38,10,12,32,22,64
Big Man,bad,75,12,23,28,19,70
Bill Harken,good,63,36,33,60,23,40
Billy Kincaid,bad,1,1,1,1,0,1
Binary,good,1,1,1,1,0,1
Bird-Brain,good,25,10,35,28,21,42
Bird-Man,bad,1,1,1,1,0,1
Bird-Man II,bad,1,1,1,1,0,1
Birdman,good,1,1,1,1,0,1
Bishop,good,63,14,23,75,85,65
Bizarro,neutral,75,95,100,100,95,85
Black Abbott,bad,1,1,1,1,0,1
Black Adam,bad,88,100,92,100,89,56
Black Bolt,good,75,67,100,84,100,56
Black Canary I,good,1,1,1,1,0,1
Black Canary II,good,1,1,1,1,0,1
Black Cat,good,75,16,33,10,23,70
Black Goliath,good,1,1,1,1,0,1
Black Knight III,good,63,10,8,70,43,70
Black Lightning,good,50,11,53,28,70,75
Black Mamba,bad,75,10,35,42,78,65
