Date,Austria,Belgium,Cyprus,Germany,Estonia,Spain,Finland,France,Greece (GR),Lithuania,Luxembourg,Latvia,Malta,Netherlands,Portugal,Slovenia,Slovakia,Euro area (changing composition)
2016Nov,0.31,0.09,1.5,0.33,0.48,0.12,0.5,1.09,0.71,0.23,-,0.4,0.72,1.43,0.31,0.27,1.91,0.43
2016Oct,0.33,0.23,1.49,0.31,0.52,0.13,0.41,0.96,0.75,0.31,0.44,0.43,0.74,1.47,0.33,0.26,0.96,0.44
2016Sep,0.31,0.16,1.52,0.34,0.47,0.15,0.43,1.07,0.78,0.21,-,0.41,0.71,1.27,0.34,0.25,1.54,0.5
2016Aug,0.33,0.14,1.54,0.38,0.39,0.18,0.51,0.93,0.87,0.21,0.28,0.36,0.77,1.64,0.37,0.28,1.34,0.52
2016Jul,0.32,0.19,1.53,0.31,0.36,0.19,0.45,1.29,0.86,0.17,0.19,0.5,1.07,1.61,0.39,0.28,0.91,0.5
2016Jun,0.3,0.85,1.52,0.32,0.38,0.22,0.61,1.31,0.86,0.17,0.33,0.48,1.22,1.65,0.43,0.28,1.39,0.56
2016May,0.31,1.9,1.52,0.38,0.36,0.23,0.63,1.24,0.85,0.18,-,0.44,1.29,1.68,0.44,0.3,1.2,0.54
2016Apr,0.31,0.29,1.59,0.4,0.43,0.25,0.51,1.28,0.87,0.19,-,0.41,1.25,1.63,0.48,0.31,1.21,0.58
2016Mar,0.33,0.3,1.53,0.41,0.41,0.3,0.7,1.36,0.88,0.19,0.33,0.42,1.36,1.49,0.47,0.36,1.32,0.59
2016Feb,0.37,0.25,1.55,0.39,0.49,0.33,0.73,1.39,0.91,0.18,0.25,0.34,1.2,1.42,0.49,0.39,1.18,0.6
2016Jan,0.39,0.32,1.54,0.38,0.49,0.35,0.74,1.57,1.01,0.22,0.23,0.56,1.13,1.41,0.54,0.4,1.5,0.63
2015Dec,0.38,0.24,1.55,0.31,0.46,0.4,0.85,1.39,1.01,0.25,0.55,0.66,1.01,1.61,0.54,0.41,1.43,0.63
2015Nov,0.39,0.3,1.52,0.38,0.55,0.4,0.85,1.38,1,0.24,-,0.3,1,1.81,0.59,0.43,1.72,0.64
2015Oct,0.38,0.57,1.54,0.39,0.62,0.42,0.92,1.39,1.06,0.24,-,0.42,0.92,1.85,0.64,0.46,1.26,0.64
2015Sep,0.37,1.64,1.53,0.39,0.57,0.42,0.96,1.38,1.17,0.18,0.38,0.39,0.99,1.87,0.59,0.47,1.41,0.67
2015Aug,0.35,1.79,1.6,0.35,0.57,0.41,0.96,1.28,1.18,0.18,0.57,0.31,1,1.69,0.65,0.51,1.58,0.67
2015Jul,0.36,1.86,1.67,0.36,0.54,0.41,0.95,1.32,1.29,0.2,0.24,0.3,1.02,1.75,0.68,0.5,1.41,0.67
2015Jun,0.36,1,1.67,0.33,0.5,0.42,0.96,1.17,1.79,0.19,0.32,0.4,1.15,1.41,0.69,0.54,1.5,0.77
