PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
Laakteen Depot,,,,Planet,,,,,,,,,,,
Laazrau,8th,Zug,,Planet,Gas giant,,,,,,Core Worlds,,,,
Laboi II,2nd,Laboi,,Planet,Hot,2025,2,Laboi,Ovolyan,,,,,,
Lacia,3rd,Recopi,,Planet,Gas giant,,,,,,Core Worlds,,,,
Ladarra,,,,Planet,Desert,,,,Human,,,,,,
Ladro,,,,Planet,Temperate,,,,,,,,,,
Laertos,,,,Planet,,,,,,,,,,,
Lafra,,,Orus?,Planet,Varied,,,Lafrarian,Human,,Outer Rim,,,,
Lahsbane,,,,Planet,,,,"Lahsbee, Huhk",,,,,,,
Laim,,Laim,Rayter,Planet,,,,,,,,,,,
Lamarebb,1st,Lamaro,,Planet,Gas giant,,,,,,Outer Rim,,,,
Lamarecc,2nd,Lamaro,,Planet,Gas giant,,,,,,Outer Rim,,,,
Lamaredd (Great Menahua),3rd,Lamaro,,Planet,Tropical wilderness,24,,Menahuun,Human,Bartyn's Landing,Outer Rim,,Breathable,Standard,
Lamaremm,4th,Lamaro,,Planet,Frozen ice,,,,,,Outer Rim,,,,
Lammax,,Danju,Tapani,Planet,,,,,,,Colonies,,,,
Lamuir IV,4th,Lamuir,Tapani,Planet,Temperate,23,377,Herglic,Human,Gryle City,Colonies,,,,
Lamuir VII,7th,Lamuir,Tapani,Planet,,,,,,,Colonies,,,,
Lan Barell,4th,Lan,,Planet,Desert,23,255,Qieg,Human,Shulell,,,,,
Lan Fellov,2nd,Lan,,Planet,Rocky wastes,,,,,,,,,,
Lan Tundi,3rd,Lan,,Planet,Rocky wastes,,,,,,,,,,
Langhesa,,,,Planet,,,,Human,,,,,,,
Langoona,,,,Planet,,,,Human?,,,,,,,
Lankashiir,,,,Planet,,,,Human,,,,,,,
Lannik,,,,Planet,,,,Lannik,,,Mid Rim,,,,
Lansono,,,,Planet,,,,,,,,,,,
Lanthe,,,,Planet,,,,,,,Mid Rim,,,,
Lanthrym,,Lanthrym,Elrood,Planet,Frozen plains,,,,"Gamorrean, Human",,Outer Rim,,,,
Lapez 3,3rd,Lapez,,Planet,,,,,,,,,,,
Laramus,,Laramus,Parmic,Planet,,,,,,,,,,,
Lasan,,,,Planet,Arid plans and mountains,,,Lasat,,,Outer Rim,,,,
Lastelle,,Lastelle,Tapani,Planet,,,,,,,Colonies,,,,
L'at,,Koornacht Cluster,Farlax,Planet,,,,,,,Core Worlds,,,,
Latharra,,,,Planet,,,,,,,,,,,
Latoma,1st,Latoma,Brak,Planet,,,,,,,,,,,
Latt,3rd,Demar,Brak,Planet,Rocky wastes,,,,,,,,,,
Laud,,,Brak,Planet,,,,,,,,,,,
Lavisar,,,,Planet,,,,,,,,,,,
Lazerian IV,4th,Lazerian,,Planet,Temperate,24,360,Akwin,Human,Lazeria City,,,,,
Lazerian IX,9th,Lazerian,,Planet,Frigid Rock,,,None,None,,,,,,
Lazerian VI,6th,Lazerian,,Planet,Gas Giant,,,None,None,,,,,,
Lazerian VII,7th,Lazerian,,Planet,Gas Giant,,,None,None,,,,,,
Lekua V,5th,Lekua,Centrality,Planet,Temperate,,,,,,Outer Rim,,,,
Lelmra,,,Churba?,Planet,Mountainous,,,,,,Outer Rim,,,,
Lemmi VI,,,,Planet,Jungle,,,,,,,,,,
Lenniera,,,Darpa,Planet,,,,,,,Core Worlds,,,,
Lenthalis,,Secossi,Spirva,Planet,Temperate,,,,Various,,,,,,
Lequabis,,,,Planet,Gas giant,,,None,None,,,,,,
Leria Kerlsil,,Leria Kerlsil,,Planet,Temperate,22,302,"Human, Life Witch",,,,,,,
Leritor,,,,Planet,Temperate,28,322,Sauvax,,,Mid Rim,,,,
Lesser Galam,1st,Lan,,Planet,,,,,,,,,,,
Lessuris,,,,Planet,,,,Human,,,,,,,
Lesu,,,Dail,Planet,,,,,,,,,,,
Letev,,Letev,Tapani,Planet,,,,,,,Colonies,,,,
Lethe,,,,Planet,,,,Various,,,,,,,
Levian Two,2nd,Levian,,Planet,,,,Human?,,,,,,,
Leviathan,6th,Sacorria,Corellian,Planet,Gas giant,,,,,,Core Worlds,,,,
Lexrol,,Lexrol,Trax,Planet,,,,Human,,,,,,,
Lianna,4th,Lianna,Allied Tion,Planet,Temperate,22,370,Human,,,Outer Rim,,,,
Licha In,,Lichan,Gree Enclave,Planet,Varied,24,364,,Gree,,,,,,
Liinade III,3rd,Liinade,Ciutric Hegemony,Planet,Temperate,,,,Human,,,,,,
Liintaar,,,,Planet,,,,,,,,,,,
Lijuter,1st,Reibrin,Ansuroer,Planet,,,,Houk,,,,,,,
Linuri,,,Sumitra,Planet,Temperate,,,,,,,,,,
Liok,,,,Planet,,,,,,,,,,,
Lirra,,,Baxel,Planet,,,,,,,,,,,
Lis,1st,Cirius,,Planet,Molten rock,,,,,,Core Worlds,,,,
Lisal,,,,Planet,,,,,,,,,,,
Lish,6th,Demar,Brak,Planet,Gas giant,,,,,,,,,,
Listoria,,Listoria,Tapani,Planet,,,,,,,Colonies,,,,
Little Capella,,,,Planet,,,,,,,,,,,
Liyha,6th,Kalinda,,Planet,Frozen ice,,,None,None,,,,,,
Lobaoc,,,,Planet,Semi-aquatic,,,,Human,,Outer Rim,,,,
Loce,,,,Planet,,,,Locan,,,,,,,
