PlanetID,PlanetName,Position,System,Sector,PlanetType,Environment,Length of Day,Length of Year,Sentient Species,Other Species,Capital City,Region,World,Atmosphere,Gravity,Diameter
19402,Wakeelmui,,,,Planet,,,,,,,,,,,
19403,Wakiza,,Koornacht Cluster,Farlax,Planet,,,,,,,Core Worlds,,,,
19404,Walalla,,,7th Security Zone,Planet,,,,Human,,,,,,,
19405,Walin'or,,,,Planet,,,,,,,,,,,
19406,Wann Tsir,,,,Planet,,,,Human?,,,,,,,
19407,Waskiro,,,,Planet,,,,,,,,,,,
19408,Wayland,,Wayland,,Planet,Semi-tropical,23,353,"Myneyrsh,    Psadan","Human, Noghri",,Outer Rim,,,,
19409,Weerden,,,,Planet,,,,Human?,,,,,,,
19888,Wego,1st,Obas,,Planet,,,,,,,,,,,
19410,Wehttam,,Koornacht Cluster,Farlax,Planet,,,,Wehttam,,,Core Worlds,,,,
19411,Wei,2nd,Gacerian,,Planet,Rocky wastes,,,,,,,,,,
19889,Weken,2nd,Faarlsun,,Planet,Toxic,,,,,,,,,,
20065,Welarn,3rd,Vernet,,Planet,Gas giant,,,,,,Expansion,,,,
19890,Wen'he'dinae,,,,Planet,,,,Cha'wen'he,,,,,,,
19412,Werncin 3,,,,Planet,,,,,,,,,,,
19413,Widek,,,,Planet,,,,,,,,,,,
20105,Widow,4th,Naboo,Chommell,Planet,Rocky wastes,,,None,None,,Mid Rim,,,,
20471,Wilpiet,,,,Planet,,,,,,,,,,,
19414,Wistril,,Wistril,Farfin,Planet,,,,,,,Inner Rim,,,,
19415,Wizar II,2nd,Wizar,,Planet,,,,Uroth,,,,,,,
19891,Wodenstam,,,Skine,Planet,,,,,,,,,,,
19416,Woern's Asteroid,Asteroid,Drup's Star,,Planet,"Frozen, arid rock",,500,None,Various,,,,,,
19417,Womrik,,,Dufilvian,Planet,Temperate,,,,,,Outer Rim,,,,
19418,Woostri,,Woostri,Sumitra,Planet,Ocean,22,312,Woostoid,Various,Gopsthal,Expansion,,,,
19419,Woqua,,Koornacht,Farlax,Planet,,,,,,,Core Worlds,,,,
19420,Wor Tandell,,Tandell,,Planet,,,,Human?,,,,,,,
19421,Worru'du,,,,Planet,Grassy plains,,,,,,,,,,
20451,Worxer (destroyed),,,Elrood,Planet,,,,Spiner,,,Outer Rim,,,,
20254,Wranag,,,,Planet,,,,,,,,,,,
19422,Wrea,,,,Planet,,,,Human?,,,,,,,
19423,Wroona,,Wroona,Boeus,Planet,Temperate,32,217,Wroonian,"Human, Various",,,,,,
19424,Wukkar,,,,Planet,,,,Human?,,,Core Worlds,,,,
20445,Wxtm,,,,Planet,,,,,,,Outer Rim,,,,
19425,Wyloff,,Wyloff,Wyloff,Planet,,,,Human,,,,,,,
19426,Wyndigal 2,2nd,,,Planet,Irradiated swamps,,,,,,,,,,
19427,Wynth,,,Wyloff,Planet,Temperate,,,Human,,,,,,,
19428,Wyveral,,,,Planet,,,,,,,,,,,
